Date,Date
2010-01-11,3 days
2010-01-19,4 days
2010-01-25,3 days
2010-02-01,3 days
2010-02-08,3 days
2010-02-16,4 days
2010-02-22,3 days
2010-03-01,3 days
2010-03-08,3 days
2010-03-15,3 days
2010-03-22,3 days
2010-03-29,3 days
2010-04-05,4 days
2010-04-12,3 days
2010-04-19,3 days
2010-04-26,3 days
2010-05-03,3 days
2010-05-10,3 days
2010-05-17,3 days
2010-05-24,3 days
2010-06-01,4 days
2010-06-07,3 days
2010-06-14,3 days
2010-06-21,3 days
2010-06-28,3 days
2010-07-06,4 days
2010-07-12,3 days
2010-07-19,3 days
2010-07-26,3 days
2010-08-02,3 days
2010-08-09,3 days
2010-08-16,3 days
2010-08-23,3 days
2010-08-30,3 days
2010-09-07,4 days
2010-09-13,3 days
2010-09-20,3 days
2010-09-27,3 days
2010-10-04,3 days
2010-10-11,3 days
2010-10-18,3 days
2010-10-25,3 days
2010-11-01,3 days
2010-11-08,3 days
2010-11-15,3 days
2010-11-22,3 days
2010-11-26,2 days
2010-11-29,3 days
2010-12-06,3 days
2010-12-13,3 days
2010-12-20,3 days
2010-12-27,4 days
2011-01-03,3 days
2011-01-10,3 days
2011-01-18,4 days
2011-01-24,3 days
2011-01-31,3 days
2011-02-07,3 days
2011-02-14,3 days
2011-02-22,4 days
2011-02-28,3 days
2011-03-07,3 days
2011-03-14,3 days
2011-03-21,3 days
2011-03-28,3 days
2011-04-04,3 days
2011-04-11,3 days
2011-04-18,3 days
2011-04-25,4 days
2011-05-02,3 days
2011-05-09,3 days
2011-05-16,3 days
2011-05-23,3 days
2011-05-31,4 days
2011-06-06,3 days
2011-06-13,3 days
2011-06-20,3 days
2011-06-27,3 days
2011-07-05,4 days
2011-07-11,3 days
2011-07-18,3 days
2011-07-25,3 days
2011-08-01,3 days
2011-08-08,3 days
2011-08-15,3 days
2011-08-22,3 days
2011-08-29,3 days
2011-09-06,4 days
2011-09-12,3 days
2011-09-19,3 days
2011-09-26,3 days
2011-10-03,3 days
2011-10-10,3 days
2011-10-17,3 days
2011-10-24,3 days
2011-10-31,3 days
2011-11-07,3 days
2011-11-14,3 days
2011-11-21,3 days
2011-11-25,2 days
2011-11-28,3 days
2011-12-05,3 days
2011-12-12,3 days
2011-12-19,3 days
2011-12-27,4 days
2012-01-03,4 days
2012-01-09,3 days
2012-01-17,4 days
2012-01-23,3 days
2012-01-30,3 days
2012-02-06,3 days
2012-02-13,3 days
2012-02-21,4 days
2012-02-27,3 days
2012-03-05,3 days
2012-03-12,3 days
2012-03-19,3 days
2012-03-26,3 days
2012-04-02,3 days
2012-04-09,4 days
2012-04-16,3 days
2012-04-23,3 days
2012-04-30,3 days
2012-05-07,3 days
2012-05-14,3 days
2012-05-21,3 days
2012-05-29,4 days
2012-06-04,3 days
2012-06-11,3 days
2012-06-18,3 days
2012-06-25,3 days
2012-07-02,3 days
2012-07-05,2 days
2012-07-09,3 days
2012-07-16,3 days
2012-07-23,3 days
2012-07-30,3 days
2012-08-06,3 days
2012-08-13,3 days
2012-08-20,3 days
2012-08-27,3 days
2012-09-04,4 days
2012-09-10,3 days
2012-09-17,3 days
2012-09-24,3 days
2012-10-01,3 days
2012-10-08,3 days
2012-10-15,3 days
2012-10-22,3 days
2012-10-31,5 days
2012-11-05,3 days
2012-11-12,3 days
2012-11-19,3 days
2012-11-23,2 days
2012-11-26,3 days
2012-12-03,3 days
2012-12-10,3 days
2012-12-17,3 days
2012-12-24,3 days
2012-12-26,2 days
2012-12-31,3 days
2013-01-02,2 days
2013-01-07,3 days
2013-01-14,3 days
2013-01-22,4 days
2013-01-28,3 days
2013-02-04,3 days
2013-02-11,3 days
2013-02-19,4 days
2013-02-25,3 days
2013-03-04,3 days
2013-03-11,3 days
2013-03-18,3 days
2013-03-25,3 days
2013-04-01,4 days
2013-04-08,3 days
2013-04-15,3 days
2013-04-22,3 days
2013-04-29,3 days
2013-05-06,3 days
2013-05-13,3 days
2013-05-20,3 days
2013-05-28,4 days
2013-06-03,3 days
2013-06-10,3 days
2013-06-17,3 days
2013-06-24,3 days
2013-07-01,3 days
2013-07-05,2 days
2013-07-08,3 days
2013-07-15,3 days
2013-07-22,3 days
2013-07-29,3 days
2013-08-05,3 days
2013-08-12,3 days
2013-08-19,3 days
2013-08-26,3 days
2013-09-03,4 days
2013-09-09,3 days
2013-09-16,3 days
2013-09-23,3 days
2013-09-30,3 days
2013-10-07,3 days
2013-10-14,3 days
2013-10-21,3 days
2013-10-28,3 days
2013-11-04,3 days
2013-11-11,3 days
2013-11-18,3 days
2013-11-25,3 days
2013-11-29,2 days
2013-12-02,3 days
2013-12-09,3 days
2013-12-16,3 days
2013-12-23,3 days
2013-12-26,2 days
2013-12-30,3 days
2014-01-02,2 days
2014-01-06,3 days
2014-01-13,3 days
2014-01-21,4 days
2014-01-27,3 days
2014-02-03,3 days
2014-02-10,3 days
2014-02-18,4 days
2014-02-24,3 days
2014-03-03,3 days
2014-03-10,3 days
2014-03-17,3 days
2014-03-24,3 days
2014-03-31,3 days
2014-04-07,3 days
2014-04-14,3 days
2014-04-21,4 days
2014-04-28,3 days
2014-05-05,3 days
2014-05-12,3 days
2014-05-19,3 days
2014-05-27,4 days
2014-06-02,3 days
2014-06-09,3 days
2014-06-16,3 days
2014-06-23,3 days
2014-06-30,3 days
2014-07-07,4 days
2014-07-14,3 days
2014-07-21,3 days
2014-07-28,3 days
2014-08-04,3 days
2014-08-11,3 days
2014-08-18,3 days
2014-08-25,3 days
2014-09-02,4 days
2014-09-08,3 days
2014-09-15,3 days
2014-09-22,3 days
2014-09-29,3 days
2014-10-06,3 days
2014-10-13,3 days
2014-10-20,3 days
2014-10-27,3 days
2014-11-03,3 days
2014-11-10,3 days
2014-11-17,3 days
2014-11-24,3 days
2014-11-28,2 days
2014-12-01,3 days
2014-12-08,3 days
2014-12-15,3 days
2014-12-22,3 days
2014-12-26,2 days
2014-12-29,3 days
2015-01-02,2 days
2015-01-05,3 days
2015-01-12,3 days
2015-01-20,4 days
2015-01-26,3 days
2015-02-02,3 days
2015-02-09,3 days
2015-02-17,4 days
2015-02-23,3 days
2015-03-02,3 days
2015-03-09,3 days
2015-03-16,3 days
2015-03-23,3 days
2015-03-30,3 days
2015-04-06,4 days
2015-04-13,3 days
2015-04-20,3 days
2015-04-27,3 days
2015-05-04,3 days
2015-05-11,3 days
2015-05-18,3 days
2015-05-26,4 days
2015-06-01,3 days
2015-06-08,3 days
2015-06-15,3 days
2015-06-22,3 days
2015-06-29,3 days
2015-07-06,4 days
2015-07-13,3 days
2015-07-20,3 days
2015-07-27,3 days
2015-08-03,3 days
2015-08-10,3 days
2015-08-17,3 days
2015-08-24,3 days
2015-08-31,3 days
2015-09-08,4 days
2015-09-14,3 days
2015-09-21,3 days
2015-09-28,3 days
2015-10-05,3 days
2015-10-12,3 days
2015-10-19,3 days
2015-10-26,3 days
2015-11-02,3 days
2015-11-09,3 days
2015-11-16,3 days
2015-11-23,3 days
2015-11-27,2 days
2015-11-30,3 days
2015-12-07,3 days
2015-12-14,3 days
2015-12-21,3 days
2015-12-28,4 days
2016-01-04,4 days
2016-01-11,3 days
2016-01-19,4 days
2016-01-25,3 days
2016-02-01,3 days
2016-02-08,3 days
2016-02-16,4 days
2016-02-22,3 days
2016-02-29,3 days
2016-03-07,3 days
2016-03-14,3 days
2016-03-21,3 days
2016-03-28,4 days
2016-04-04,3 days
2016-04-11,3 days
2016-04-18,3 days
2016-04-25,3 days
2016-05-02,3 days
2016-05-09,3 days
2016-05-16,3 days
2016-05-23,3 days
2016-05-31,4 days
2016-06-06,3 days
2016-06-13,3 days
2016-06-20,3 days
2016-06-27,3 days
2016-07-05,4 days
2016-07-11,3 days
2016-07-18,3 days
2016-07-25,3 days
2016-08-01,3 days
2016-08-08,3 days
2016-08-15,3 days
2016-08-22,3 days
2016-08-29,3 days
2016-09-06,4 days
2016-09-12,3 days
2016-09-19,3 days
2016-09-26,3 days
2016-10-03,3 days
2016-10-10,3 days
2016-10-17,3 days
2016-10-24,3 days
2016-10-31,3 days
2016-11-07,3 days
2016-11-14,3 days
2016-11-21,3 days
2016-11-25,2 days
2016-11-28,3 days
2016-12-05,3 days
2016-12-12,3 days
2016-12-19,3 days
2016-12-27,4 days
2017-01-03,4 days
2017-01-09,3 days
2017-01-17,4 days
2017-01-23,3 days
2017-01-30,3 days
2017-02-06,3 days
2017-02-13,3 days
2017-02-21,4 days
2017-02-27,3 days
2017-03-06,3 days
2017-03-13,3 days
2017-03-20,3 days
2017-03-27,3 days
2017-04-03,3 days
2017-04-10,3 days
2017-04-17,4 days
2017-04-24,3 days
2017-05-01,3 days
2017-05-08,3 days
2017-05-15,3 days
2017-05-22,3 days
2017-05-30,4 days
2017-06-05,3 days
2017-06-12,3 days
2017-06-19,3 days
2017-06-26,3 days
2017-07-03,3 days
2017-07-05,2 days
2017-07-10,3 days
2017-07-17,3 days
2017-07-24,3 days
2017-07-31,3 days
2017-08-07,3 days
2017-08-14,3 days
2017-08-21,3 days
2017-08-28,3 days
2017-09-05,4 days
2017-09-11,3 days
2017-09-18,3 days
2017-09-25,3 days
2017-10-02,3 days
2017-10-09,3 days
2017-10-16,3 days
2017-10-23,3 days
2017-10-30,3 days
2017-11-06,3 days
2017-11-13,3 days
2017-11-20,3 days
2017-11-24,2 days
2017-11-27,3 days
2017-12-04,3 days
2017-12-11,3 days
2017-12-18,3 days
2017-12-26,4 days
2018-01-02,4 days
2018-01-08,3 days
2018-01-16,4 days
2018-01-22,3 days
2018-01-29,3 days
2018-02-05,3 days
2018-02-12,3 days
2018-02-20,4 days
2018-02-26,3 days
2018-03-05,3 days
2018-03-12,3 days
2018-03-19,3 days
2018-03-26,3 days
2018-04-02,4 days
2018-04-09,3 days
2018-04-16,3 days
2018-04-23,3 days
2018-04-30,3 days
2018-05-07,3 days
2018-05-14,3 days
2018-05-21,3 days
2018-05-29,4 days
2018-06-04,3 days
2018-06-11,3 days
2018-06-18,3 days
2018-06-25,3 days
2018-07-02,3 days
2018-07-05,2 days
2018-07-09,3 days
2018-07-16,3 days
2018-07-23,3 days
2018-07-30,3 days
2018-08-06,3 days
2018-08-13,3 days
2018-08-20,3 days
2018-08-27,3 days
2018-09-04,4 days
2018-09-10,3 days
2018-09-17,3 days
2018-09-24,3 days
2018-10-01,3 days
2018-10-08,3 days
2018-10-15,3 days
2018-10-22,3 days
2018-10-29,3 days
2018-11-05,3 days
2018-11-12,3 days
2018-11-19,3 days
2018-11-23,2 days
2018-11-26,3 days
2018-12-03,3 days
2018-12-06,2 days
2018-12-10,3 days
2018-12-17,3 days
2018-12-24,3 days
2018-12-26,2 days
2018-12-31,3 days
2019-01-02,2 days
2019-01-07,3 days
2019-01-14,3 days
2019-01-22,4 days
2019-01-28,3 days
2019-02-04,3 days
2019-02-11,3 days
2019-02-19,4 days
2019-02-25,3 days
2019-03-04,3 days
2019-03-11,3 days
2019-03-18,3 days
2019-03-25,3 days
2019-04-01,3 days
2019-04-08,3 days
2019-04-15,3 days
2019-04-22,4 days
2019-04-29,3 days
2019-05-06,3 days
2019-05-13,3 days
2019-05-20,3 days
2019-05-28,4 days
2019-06-03,3 days
2019-06-10,3 days
2019-06-17,3 days
2019-06-24,3 days
2019-07-01,3 days
2019-07-05,2 days
2019-07-08,3 days
2019-07-15,3 days
2019-07-22,3 days
2019-07-29,3 days
2019-08-05,3 days
2019-08-12,3 days
2019-08-19,3 days
2019-08-26,3 days
2019-09-03,4 days
2019-09-09,3 days
2019-09-16,3 days
2019-09-23,3 days
2019-09-30,3 days
2019-10-07,3 days
2019-10-14,3 days
2019-10-21,3 days
2019-10-28,3 days
2019-11-04,3 days
2019-11-11,3 days
2019-11-18,3 days
2019-11-25,3 days
2019-11-29,2 days
2019-12-02,3 days
2019-12-09,3 days
2019-12-16,3 days
2019-12-23,3 days
2019-12-26,2 days
2019-12-30,3 days
2020-01-02,2 days
2020-01-06,3 days
2020-01-13,3 days
2020-01-21,4 days
2020-01-27,3 days
2020-02-03,3 days
2020-02-10,3 days
2020-02-18,4 days
2020-02-24,3 days
2020-03-02,3 days
2020-03-09,3 days
2020-03-16,3 days
2020-03-23,3 days
2020-03-30,3 days
2020-04-06,3 days
2020-04-13,4 days
2020-04-20,3 days
2020-04-27,3 days
2020-05-04,3 days
2020-05-11,3 days
2020-05-18,3 days
2020-05-26,4 days
2020-06-01,3 days
2020-06-08,3 days
2020-06-15,3 days
2020-06-22,3 days
2020-06-29,3 days
2020-07-06,4 days
2020-07-13,3 days
2020-07-20,3 days
2020-07-27,3 days
2020-08-03,3 days
2020-08-10,3 days
2020-08-17,3 days
2020-08-24,3 days
2020-08-31,3 days
2020-09-08,4 days
2020-09-14,3 days
2020-09-21,3 days
2020-09-28,3 days
2020-10-05,3 days
2020-10-12,3 days
2020-10-19,3 days
2020-10-26,3 days
2020-11-02,3 days
2020-11-09,3 days
2020-11-16,3 days
2020-11-23,3 days
2020-11-27,2 days
2020-11-30,3 days
2020-12-07,3 days
2020-12-14,3 days
2020-12-21,3 days
2020-12-28,4 days
2021-01-04,4 days
2021-01-11,3 days
2021-01-19,4 days
2021-01-25,3 days
2021-02-01,3 days
2021-02-08,3 days
2021-02-16,4 days
2021-02-22,3 days
2021-03-01,3 days
2021-03-08,3 days
2021-03-15,3 days
2021-03-22,3 days
2021-03-29,3 days
2021-04-05,4 days
2021-04-12,3 days
2021-04-19,3 days
2021-04-26,3 days
2021-05-03,3 days
2021-05-10,3 days
2021-05-17,3 days
2021-05-24,3 days
2021-06-01,4 days
2021-06-07,3 days
2021-06-14,3 days
2021-06-21,3 days
2021-06-28,3 days
2021-07-06,4 days
2021-07-12,3 days
2021-07-19,3 days
2021-07-26,3 days
2021-08-02,3 days
2021-08-09,3 days
2021-08-16,3 days
2021-08-23,3 days
2021-08-30,3 days
2021-09-07,4 days
2021-09-13,3 days
2021-09-20,3 days
2021-09-27,3 days
2021-10-04,3 days
2021-10-11,3 days
2021-10-18,3 days
2021-10-25,3 days
2021-11-01,3 days
2021-11-08,3 days
2021-11-15,3 days
2021-11-22,3 days
2021-11-26,2 days
2021-11-29,3 days
2021-12-06,3 days
2021-12-13,3 days
2021-12-20,3 days
2021-12-27,4 days
2022-01-03,3 days
2022-01-10,3 days
2022-01-18,4 days
2022-01-24,3 days
2022-01-31,3 days
2022-02-07,3 days
2022-02-14,3 days
2022-02-22,4 days
2022-02-28,3 days
2022-03-07,3 days
2022-03-14,3 days
2022-03-21,3 days
2022-03-28,3 days
2022-04-04,3 days
2022-04-11,3 days
2022-04-18,4 days
2022-04-25,3 days
2022-05-02,3 days
2022-05-09,3 days
2022-05-16,3 days
2022-05-23,3 days
2022-05-31,4 days
2022-06-06,3 days
2022-06-13,3 days
2022-06-21,4 days
2022-06-27,3 days
2022-07-05,4 days
2022-07-11,3 days
2022-07-18,3 days
2022-07-25,3 days
2022-08-01,3 days
2022-08-08,3 days
2022-08-15,3 days
2022-08-22,3 days
2022-08-29,3 days
2022-09-06,4 days
2022-09-12,3 days
2022-09-19,3 days
2022-09-26,3 days
2022-10-03,3 days
2022-10-10,3 days
2022-10-17,3 days
2022-10-24,3 days
2022-10-31,3 days
2022-11-07,3 days
2022-11-14,3 days
2022-11-21,3 days
2022-11-25,2 days
2022-11-28,3 days
2022-12-05,3 days
2022-12-12,3 days
2022-12-19,3 days
2022-12-27,4 days
2023-01-03,4 days
2023-01-09,3 days
2023-01-17,4 days
2023-01-23,3 days
2023-01-30,3 days
2023-02-06,3 days
2023-02-13,3 days
2023-02-21,4 days
2023-02-27,3 days
2023-03-06,3 days
2023-03-13,3 days
2023-03-20,3 days
2023-03-27,3 days
2023-04-03,3 days
2023-04-10,4 days
2023-04-17,3 days
2023-04-24,3 days
2023-05-01,3 days
2023-05-08,3 days
2023-05-15,3 days
2023-05-22,3 days
2023-05-30,4 days
2023-06-05,3 days
2023-06-12,3 days
2023-06-20,4 days
2023-06-26,3 days
2023-07-03,3 days
2023-07-05,2 days
2023-07-10,3 days
2023-07-17,3 days
2023-07-24,3 days
2023-07-31,3 days
2023-08-07,3 days
2023-08-14,3 days
2023-08-21,3 days
2023-08-28,3 days
2023-09-05,4 days
2023-09-11,3 days
2023-09-18,3 days
2023-09-25,3 days
2023-10-02,3 days
2023-10-09,3 days
2023-10-16,3 days
2023-10-23,3 days
2023-10-30,3 days
2023-11-06,3 days
2023-11-13,3 days
2023-11-20,3 days
2023-11-24,2 days
2023-11-27,3 days
2023-12-04,3 days
2023-12-11,3 days
2023-12-18,3 days
2023-12-26,4 days
2024-01-02,4 days
2024-01-08,3 days
2024-01-16,4 days
2024-01-22,3 days
2024-01-29,3 days
2024-02-05,3 days
2024-02-12,3 days
2024-02-20,4 days
2024-02-26,3 days
2024-03-04,3 days
2024-03-11,3 days
2024-03-18,3 days
2024-03-25,3 days
2024-04-01,4 days
2024-04-08,3 days
2024-04-15,3 days
2024-04-22,3 days
2024-04-29,3 days
2024-05-06,3 days
2024-05-13,3 days
2024-05-20,3 days
2024-05-28,4 days
2024-06-03,3 days
2024-06-10,3 days
2024-06-17,3 days
2024-06-20,2 days
2024-06-24,3 days
2024-07-01,3 days
2024-07-05,2 days
2024-07-08,3 days
2024-07-15,3 days
2024-07-22,3 days
2024-07-29,3 days
2024-08-05,3 days
2024-08-12,3 days
2024-08-19,3 days
2024-08-26,3 days
2024-09-03,4 days
2024-09-09,3 days
2024-09-16,3 days
2024-09-23,3 days
2024-09-30,3 days
2024-10-07,3 days
2024-10-14,3 days
2024-10-21,3 days
2024-10-28,3 days
2024-11-04,3 days
2024-11-11,3 days
2024-11-18,3 days
2024-11-25,3 days
